0,1,2,3,4,5,6,7,8,9,
0,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,
0.01,4.615078731,4.588824484,4.618921445,4.625675698,4.632715734,4.580970946,4.60741883,4.594119467,4.595408342,4.634120185,
0.02,4.627504889,4.648482407,4.612257914,4.631401955,4.630955081,4.605781456,4.626742137,4.617004299,4.623689542,4.647181668,
0.03,4.647631208,4.66137836,4.596506256,4.614234504,4.639468181,4.592978229,4.657063477,4.629382847,4.654036815,4.629759935,
0.04,4.579682877,4.684338027,4.572077776,4.622415939,4.653138863,4.613829437,4.662084825,4.634147783,4.671021134,4.634505266,
0.05,4.598737623,4.645279483,4.606970717,4.649130655,4.699485646,4.626147556,4.71162708,4.607651552,4.636269944,4.638603404,
0.06,4.608325224,4.637243864,4.579365153,4.601034275,4.680678173,4.577898877,4.677578593,4.598269331,4.654093535,4.604757409,
0.07,4.565185215,4.653497268,4.550729554,4.577508776,4.649213839,4.547248694,4.728214464,4.624348778,4.679585393,4.580879327,
0.08,4.553127046,4.649106478,4.589666138,4.543573428,4.673463647,4.575116492,4.776289576,4.614774292,4.699609205,4.614999569,
0.09,4.550989451,4.655470589,4.588263813,4.587984868,4.600446638,4.545415545,4.794356839,4.620560447,4.702364118,4.625108941,
0.1,4.538657657,4.660365196,4.595372533,4.545793593,4.621635083,4.494490764,4.775858134,4.599070168,4.749462201,4.630077906,
0.11,4.575226682,4.664420196,4.636293318,4.571392949,4.581107626,4.536078406,4.765651236,4.632680913,4.769272644,4.630295462,
0.12,4.600161698,4.716955394,4.596651279,4.568963765,4.582575566,4.485372918,4.767225557,4.633107803,4.768097502,4.641081134,
0.13,4.637962641,4.690057248,4.609438463,4.582091917,4.626802466,4.452524166,4.753538204,4.644631981,4.75381914,4.620843755,
0.14,4.641970093,4.630183837,4.580026716,4.584685052,4.602634766,4.464223527,4.791393252,4.619652975,4.764689754,4.556738082,
0.15,4.603661721,4.646370174,4.621501441,4.657219652,4.614431775,4.485950985,4.762939599,4.584893103,4.792708291,4.531819107,
0.16,4.609350644,4.68590173,4.662528261,4.645423427,4.651863491,4.562734848,4.762218124,4.61486249,4.767135715,4.57308498,
0.17,4.610363678,4.700960915,4.651960712,4.629454672,4.664251296,4.549806268,4.746763633,4.583950127,4.74134528,4.581482612,
0.18,4.587470802,4.694894811,4.609142472,4.638258239,4.653922599,4.510741801,4.735269277,4.587636323,4.668134528,4.582714986,
0.19,4.598619904,4.672322714,4.61049542,4.696708675,4.64606838,4.533804009,4.725814551,4.620380162,4.667499342,4.58424651,
0.2,4.586364236,4.626357954,4.632637208,4.689407613,4.651625729,4.541657312,4.67749271,4.654974609,4.664979735,4.577119326,
0.21,4.629729627,4.608724766,4.623999133,4.711144055,4.618868099,4.561578408,4.685610144,4.674623007,4.65915123,4.563103548,
0.22,4.651072414,4.582133677,4.57267472,4.750317594,4.595482146,4.561918774,4.598711219,4.696383519,4.625375559,4.55919776,
0.23,4.711698692,4.588063709,4.525322253,4.779589868,4.567164768,4.593028575,4.636846418,4.709547876,4.580162922,4.575704359,
0.24,4.73987444,4.612038099,4.535504703,4.75373634,4.565819856,4.631997655,4.637391488,4.759860216,4.574927885,4.577991947,
0.25,4.703637509,4.63284096,4.533858967,4.748248484,4.568210624,4.594655937,4.626116812,4.747686509,4.522510727,4.565692423,
0.26,4.696939792,4.654737718,4.490740312,4.710999211,4.568940944,4.62477459,4.693214323,4.746202119,4.534144613,4.532790876,
0.27,4.696006817,4.633079628,4.489440625,4.729607228,4.56814434,4.61717145,4.706603084,4.716845582,4.51501572,4.49872523,
0.28,4.718421153,4.5839046,4.459314065,4.749842591,4.565364255,4.649234991,4.750425649,4.71104705,4.499684894,4.530975426,
0.29,4.717663165,4.600787148,4.491731149,4.704643917,4.596276169,4.642105487,4.785029716,4.723915685,4.480229372,4.513664605,
0.3,4.675146867,4.601153634,4.500014662,4.698677844,4.572424431,4.605026495,4.814056746,4.732952211,4.469487915,4.488380629,
0.31,4.688350169,4.578881449,4.465858481,4.698410819,4.588432203,4.641460902,4.802631763,4.731994677,4.481094363,4.522829157,
0.32,4.685851283,4.594710761,4.499943833,4.718030045,4.545845853,4.629636502,4.803796564,4.714004978,4.504907701,4.527295945,
0.33,4.724075878,4.621410235,4.51821018,4.733277915,4.51399539,4.640044303,4.872043999,4.718798053,4.502239798,4.560010951,
0.34,4.715133714,4.641683325,4.467020799,4.658610717,4.539476748,4.653818354,4.83782477,4.704215878,4.475218354,4.537260535,
0.35,4.662023523,4.663321681,4.481774736,4.643739656,4.555081379,4.675761176,4.833069198,4.671976616,4.460485991,4.558532916,
0.36,4.671644527,4.641772744,4.512192083,4.64214758,4.538636836,4.618521612,4.848781898,4.70792574,4.419496911,4.571200669,
0.37,4.705595304,4.619462335,4.501814993,4.662798303,4.537186648,4.620278333,4.83620925,4.729484255,4.339407923,4.565513228,
0.38,4.708602669,4.667066639,4.547789655,4.674191436,4.562372519,4.670158499,4.834131277,4.756522794,4.350744098,4.5704488,
0.39,4.708138529,4.653730732,4.507950753,4.642910079,4.554364113,4.640427801,4.849951765,4.782115893,4.351252138,4.526628946,
0.4,4.728833543,4.634751404,4.592566144,4.61981409,4.519165234,4.593517159,4.889039681,4.80733293,4.348211172,4.513000594,
0.41,4.7263803,4.583200787,4.551685856,4.608673754,4.492027441,4.637370378,4.931527787,4.861947531,4.324746405,4.544485936,
0.42,4.682064174,4.515143989,4.557383778,4.658662116,4.460746721,4.642212011,4.930561459,4.870887186,4.319174714,4.501880572,
0.43,4.669142504,4.47101142,4.574298233,4.680421719,4.42763438,4.643616474,4.965876374,4.827239922,4.355258647,4.536563031,
0.44,4.649549429,4.455555373,4.537373515,4.708749447,4.446343213,4.651565624,4.948172846,4.830959523,4.356468058,4.545838408,
0.45,4.667576046,4.472271528,4.576883868,4.716744194,4.411805768,4.713646379,4.936977931,4.868334545,4.355936942,4.573789787,
0.46,4.659258208,4.553634172,4.570268742,4.70769332,4.465323347,4.708597202,4.906821895,4.899228059,4.286465039,4.556295186,
0.47,4.624239891,4.534860315,4.575794293,4.706678729,4.424476478,4.721888462,4.908796256,4.94220898,4.262537507,4.536168363,
0.48,4.642084092,4.514946075,4.595588623,4.678346495,4.43311699,4.716190463,4.902827625,5.002819398,4.272401237,4.557132617,
0.49,4.68983085,4.463580082,4.56136864,4.694917606,4.391692634,4.671176308,4.905091762,4.995158912,4.267816327,4.570517568,
0.5,4.702567632,4.455827747,4.551508787,4.703289139,4.432574472,4.706103238,4.935461871,5.032525271,4.327060079,4.590761172,
0.51,4.701738246,4.43893545,4.560346184,4.694409309,4.42044812,4.669497463,4.960602666,5.037561786,4.373299774,4.591477231,
0.52,4.688321285,4.431261036,4.582397769,4.734062314,4.395065732,4.65397388,4.969022035,5.02380082,4.358965306,4.606323639,
0.53,4.705482315,4.431345146,4.584170816,4.747838307,4.419268506,4.672838525,4.974871884,5.02197034,4.342508109,4.640119555,
0.54,4.725742588,4.404478812,4.615733828,4.718735544,4.373519221,4.68990787,5.023563487,5.015893618,4.346319136,4.679953077,
0.55,4.769536847,4.393817272,4.623155298,4.726701516,4.390292302,4.716727643,5.034540251,5.047800561,4.347060777,4.701242733,
0.56,4.831806261,4.37892418,4.652440593,4.729262238,4.391474349,4.699275359,5.009941985,5.085632477,4.36528843,4.739319257,
0.57,4.835432642,4.346360547,4.656452062,4.756982878,4.412644528,4.691329666,4.940454996,5.095465194,4.372801888,4.755602426,
0.58,4.845058987,4.298352303,4.67045959,4.711355757,4.393267253,4.674063038,4.984387365,5.066987026,4.379020556,4.76658876,
0.59,4.885081276,4.262907576,4.646795837,4.709771454,4.411919346,4.658305721,4.974111561,5.042307288,4.396502707,4.74687307,
0.6,4.913717941,4.263348911,4.645779186,4.748124306,4.417441,4.646901303,4.975519167,5.043966168,4.366012464,4.767557453,
0.61,4.902732666,4.24742027,4.632971212,4.801661218,4.376547712,4.667323492,4.962795751,5.051343024,4.348530322,4.715132422,
0.62,4.94624519,4.285273718,4.655303715,4.810138247,4.393667739,4.678194685,4.926064814,5.099219113,4.368117899,4.760101604,
0.63,5.00952396,4.321387407,4.676913547,4.824185395,4.440992708,4.646211056,4.955751118,5.114333629,4.382354338,4.700989162,
0.64,5.034343062,4.321565559,4.68543113,4.81499965,4.436368617,4.633112524,4.951641537,5.121044064,4.377707372,4.700696128,
0.65,5.033919086,4.317055906,4.680288476,4.847031197,4.438425434,4.65305637,4.939695254,5.148488637,4.409423928,4.673700458,
0.66,5.025231125,4.263827056,4.705657799,4.850602549,4.448581069,4.690364778,4.896774242,5.167561228,4.398292593,4.682090816,
0.67,5.0504874,4.251237941,4.659294186,4.827058014,4.503421583,4.693607549,4.860516927,5.105129972,4.374735183,4.67364066,
0.68,5.069284031,4.320949578,4.668329284,4.847157477,4.485467954,4.673724187,4.89499599,5.066034027,4.352367775,4.643789312,
0.69,5.047985145,4.326185195,4.699103848,4.893136519,4.434918688,4.674912523,4.882545777,5.074752406,4.33738099,4.626913835,
0.7,4.994084531,4.359567649,4.674968548,4.934955215,4.475307246,4.713899234,4.885906721,5.06349051,4.35504452,4.642437836,
0.71,5.00644637,4.316099817,4.681861266,4.881912373,4.412021516,4.739100843,4.929892716,5.058829126,4.358577937,4.650650744,
0.72,5.001401273,4.303131841,4.683505908,4.922013007,4.416297122,4.733963611,4.988578339,5.081051956,4.342252184,4.621969958,
0.73,4.971416912,4.334379394,4.699848241,4.901311302,4.352153885,4.759578324,4.986069175,5.065385778,4.355875813,4.633370946,
0.74,4.995025991,4.306055922,4.73111581,4.908423246,4.409357072,4.69339883,5.007157404,5.061986045,4.331213032,4.614090149,
0.75,4.988653562,4.33707944,4.676850395,4.918703985,4.3729024,4.678557495,4.954210736,5.089016236,4.347520364,4.621247787,
0.76,4.945425484,4.278866427,4.619499667,4.888482685,4.375911508,4.703558087,5.008012754,5.119982194,4.294670884,4.643881062,
0.77,4.906775474,4.244423177,4.616615847,4.87866424,4.384028576,4.740814404,5.034799637,5.109496968,4.270951994,4.60403702,
0.78,4.834022066,4.315148128,4.586915677,4.822361124,4.443627643,4.754249958,4.99775819,5.110716863,4.257691179,4.637542431,
0.79,4.836857398,4.32563588,4.546982136,4.825801162,4.43001089,4.746148959,4.979751045,5.077937504,4.303106579,4.667769348,
0.8,4.891347119,4.434594712,4.538308327,4.831578358,4.4630827,4.742270126,4.933070549,5.132757984,4.288606868,4.669006571,
0.81,4.843349856,4.438554221,4.553765149,4.85105502,4.445622438,4.724546205,4.971218905,5.139550039,4.285047507,4.71079846,
0.82,4.844511293,4.489619572,4.507222222,4.871060814,4.437227572,4.762038831,4.938856364,5.171407684,4.312636752,4.720637424,
0.83,4.853586782,4.450378868,4.518091348,4.848359589,4.482463606,4.784308034,4.965345588,5.197856457,4.257363,4.685345021,
0.84,4.876398456,4.432422032,4.473357783,4.884869368,4.467086868,4.784057291,5.014251665,5.141118218,4.212467691,4.711807274,
0.85,4.860663696,4.491573734,4.468748515,4.887563014,4.454854372,4.739945739,4.985500434,5.143647031,4.222017805,4.727055956,
0.86,4.90355115,4.474808147,4.393852157,4.914875244,4.479237585,4.774140458,4.967100156,5.186732239,4.22368859,4.739462689,
0.87,4.899521995,4.500486188,4.402384706,4.94673093,4.439745108,4.807413713,4.982507357,5.17653539,4.183581301,4.693856919,
0.88,4.942935918,4.41877719,4.368366674,4.949974154,4.357757097,4.778459912,4.966609416,5.142284143,4.189173662,4.692314162,
0.89,4.905074538,4.383296496,4.339485945,4.977126118,4.347407042,4.785631371,4.966209203,5.118688996,4.16191126,4.737346828,
0.9,4.874144549,4.318477439,4.311102588,4.984823058,4.3588867,4.806226327,4.972248612,5.110702683,4.141897203,4.697487206,
0.91,4.860850936,4.328506091,4.28315953,5.001039125,4.371857535,4.847042443,5.000946067,5.134951419,4.131190804,4.690096185,
0.92,4.900460593,4.272416256,4.266239783,5.024876325,4.378006361,4.807228588,5.009146925,5.114657059,4.162571913,4.624074458,
0.93,4.975868555,4.304261616,4.234112749,5.010560025,4.337469992,4.823850031,4.999825934,5.170854974,4.186391515,4.615948903,
0.94,5.013769443,4.257041168,4.217757164,5.010111725,4.318312469,4.833317262,4.99266469,5.195446347,4.182317934,4.609692717,
0.95,4.992334087,4.241698553,4.215231488,5.005607826,4.31078028,4.852816067,4.997557288,5.265769474,4.176368382,4.595820838,
0.96,4.972757985,4.212595955,4.200546657,5.005405119,4.316761592,4.909935348,4.99531156,5.29697732,4.184220654,4.627587513,
0.97,5.00299919,4.18916216,4.269633048,4.999404983,4.369175445,4.847885515,4.920192723,5.305029139,4.192156584,4.627119997,
0.98,5.01249541,4.173170273,4.329759339,4.960611023,4.38179518,4.812877643,4.918255988,5.318665634,4.207951359,4.651397532,
0.99,5.042413462,4.155187341,4.307825102,4.98801099,4.400196574,4.808866705,4.932824961,5.333622909,4.197493758,4.634881089,
