0,1,2,3,4,5,6,7,8,9,
0.56,0.3249352894,0.1802867668,0.3959546404,0.09339351782,0.3436881678,0.259591723,0.2635990544,0.2052490114,0.16667202,0.2417666876,
0.58,0.3060155144,0.1804482055,0.3694752614,0.1026399885,0.32051426,0.2614572416,0.2036753417,0.2078387518,0.1288092266,0.1907364809,
0.6,0.310419905,0.2123179698,0.3581951752,0.06194695492,0.3571139229,0.3101388609,0.233083176,0.2075142413,0.1325149249,0.175751315,
0.62,0.3072632188,0.2677315064,0.315021751,0.08736837467,0.312575389,0.3238402772,0.2138481119,0.1674204057,0.08482345299,0.167936575,
0.64,0.3342417375,0.2938664672,0.3134546356,0.1013097963,0.350049557,0.3141265903,0.2538762196,0.1423526094,0.09387728435,0.1804003768,
0.66,0.322440509,0.312451353,0.3056571803,0.139165154,0.3286606922,0.3510775143,0.2825884816,0.158959056,0.122220936,0.1511122581,
0.68,0.2955959362,0.3111861161,0.3002282303,0.1087422969,0.3494658654,0.3494186581,0.2719586697,0.1501681751,0.130870115,0.1460223772,
0.7,0.3170645557,0.3050790027,0.2870747037,0.1859693802,0.3240005189,0.3224283627,0.2508327408,0.1612800132,0.06040036137,0.1591892154,
0.72,0.3237706147,0.322101794,0.2570413654,0.1852184428,0.3272900469,0.3073772939,0.2822974129,0.1830398114,0.0019157975,0.1622409533,
0.74,0.360504507,0.4105828662,0.2791663583,0.1824356169,0.3635569528,0.3042334854,0.2374325438,0.1534925973,0.004369504972,0.1360398414,
0.76,0.3787797579,0.3956920526,0.2711823264,0.166665362,0.3912981021,0.2474084411,0.2192390293,0.1347944298,0.04540924023,0.1204537409,
0.78,0.4168934036,0.3488777319,0.2819576771,0.1910357685,0.3616633176,0.2379716881,0.2026053361,0.1179933773,0.0813782082,0.1589844888,
0.8,0.4375811205,0.3539375291,0.234358075,0.1981818992,0.3334924829,0.2374519518,0.1746556883,0.08883746382,0.07952874041,0.1352999162,
0.82,0.4266935658,0.3446489455,0.2277895115,0.15543501,0.2873807783,0.2121368787,0.2207750189,0.1020821374,0.08447058655,0.1290816862,
0.84,0.4123280836,0.3314714208,0.231823278,0.1621638505,0.2819970263,0.2160140431,0.2170906879,0.1540927343,0.1041578471,0.1119183351,
0.86,0.4170205756,0.3728512147,0.2108104334,0.1791657348,0.2596395125,0.2183697736,0.1986613688,0.1670217276,0.1012405528,0.1166104209,
0.88,0.3727977153,0.3624368804,0.2007711051,0.1935805273,0.2341122467,0.2045667816,0.1853102931,0.1323752954,0.06549247019,0.1463228931,
0.9,0.3626379843,0.3712991312,0.1899351879,0.2126568616,0.2825423109,0.2034151373,0.2106203667,0.06158068675,0.1176518738,0.1094049509,
0.92,0.3461202088,0.3259023868,0.1877372406,0.2440178126,0.2807553028,0.2075880161,0.1667303105,0.03814521679,0.1009500733,0.07340127421,
0.94,0.3464933201,0.3124530196,0.2171168066,0.2395414538,0.2923964777,0.2058349721,0.1330416683,0.01674844772,0.04773959436,0.09358445039,
0.96,0.2912976141,0.2749296945,0.2436514148,0.2402721343,0.2372930966,0.2186957945,0.1010103906,0.06401057535,0.06798415551,0.1047268225,
0.98,0.299913532,0.2596383079,0.2656305836,0.2605283945,0.2282338376,0.2351109354,0.09421954958,0.04182139612,0.1011612919,0.1281065423,
1,0.2921549384,0.246227898,0.305334864,0.2690263807,0.2262545306,0.1764600433,0.08044485068,0.03714264836,0.107869992,0.141557551,
1.02,0.3043710983,0.2783084032,0.3031319515,0.26977972,0.2052013905,0.1914987902,0.06887981564,0.0342284492,0.07999012058,0.1293780456,
1.04,0.3316095312,0.3202841762,0.305222365,0.2652688498,0.2044384812,0.1814989455,0.1066759625,-0.01067073614,0.1122548495,0.09049840946,
1.06,0.2977088372,0.303958079,0.2627260365,0.2603886428,0.2027623453,0.1866381927,0.07526451449,-0.002941758634,0.1109901835,0.08560750032,
1.08,0.2912582312,0.294348197,0.2383268988,0.2513096709,0.2437712839,0.1872941655,0.07302857566,0.004061421815,0.07905541255,0.06769890212,
1.1,0.2648900492,0.2741238982,0.2588063177,0.2287745254,0.235750619,0.194179313,0.06990317676,-0.02703583833,0.04578252399,0.09734627115,
1.12,0.274410544,0.2894425382,0.2737725396,0.2572229537,0.238888178,0.2124075069,0.121724584,-0.04493138648,0.06567805328,0.07544174107,
1.14,0.2422673746,0.2740232152,0.2719219487,0.2350057235,0.2448536859,0.2203989292,0.09526666775,-0.03778021212,0.0596688526,0.05388474699,
1.16,0.2453524061,0.2946334983,0.2610638692,0.190823174,0.2648653963,0.2265230497,0.05078700768,-0.01885955027,0.08720203455,0.1386271442,
1.18,0.227638221,0.2845968255,0.3109093815,0.2322364312,0.271974853,0.223926692,0.04536574455,-0.02381579896,0.08055421506,0.1321513041,
1.2,0.2372769605,0.2564680389,0.2963165515,0.2393301141,0.2751566132,0.1907619723,0.02790238611,-0.04099259083,0.09338020509,0.126485352,
1.22,0.2554313958,0.1803198143,0.2798580177,0.2089204644,0.2758094929,0.1641853442,-0.0221792593,-0.01931020206,0.07874669995,0.1313509378,
1.24,0.2862606435,0.1533742771,0.3038345827,0.1751641112,0.2664711815,0.1674767041,-0.03441310109,-0.04667491134,0.08151934506,0.07341615161,
1.26,0.2505291101,0.1752229929,0.3175244668,0.1269579971,0.2657196818,0.1465054122,0.01513518033,-0.07521366602,0.1022487436,0.0844076785,
1.28,0.2323284973,0.1333782976,0.336617793,0.08071036462,0.2511483514,0.1014759619,0.04935939802,-0.08019256883,0.1429039478,0.1007051597,
1.3,0.2505998702,0.1720113332,0.3494138676,0.1172261462,0.2563268102,0.1071831071,0.03942208713,-0.09517095708,0.1259086848,0.138866517,
1.32,0.2868445035,0.1468629867,0.2976655962,0.1074776665,0.2341129815,0.1224899955,0.05887584503,-0.1016162465,0.1126923752,0.128835133,
1.34,0.3299324508,0.08701417083,0.3080847418,0.1663363841,0.2265527443,0.1614442625,0.03267484011,-0.1001057355,0.09932176618,0.1101504721,
1.36,0.3688243847,0.07951362378,0.3620928962,0.1437310431,0.2545591671,0.1127076992,0.03710195577,-0.1316358792,0.0316871705,0.1184145429,
1.38,0.3795427454,0.1106440923,0.3417392508,0.1596103563,0.2696896147,0.1337002739,0.03928321981,-0.1281639098,0.05505180967,0.09953287985,
1.4,0.3964017107,0.1116892278,0.3172329206,0.2058105734,0.2650395577,0.1573983625,-0.02134841115,-0.168566774,0.0732478979,0.1003247789,
1.42,0.4086591512,0.1108578097,0.2957950827,0.2221850577,0.219951575,0.127442923,-0.04423203335,-0.1600672287,0.08641607131,0.07026725187,
1.44,0.3986091738,0.1015881896,0.3285697228,0.1965454076,0.1999665804,0.1262393446,-0.06135155063,-0.1811253475,0.1112909602,0.1006031177,
1.46,0.4036328061,0.04763010355,0.3429522623,0.1832585783,0.1973599061,0.1143432748,-0.07232929664,-0.1581177302,0.1134397982,0.08453859498,
1.48,0.3612601529,0.05139901953,0.3832779166,0.1750552284,0.1977054872,0.1650608404,-0.06667653017,-0.1379626833,0.09024732462,0.0992883067,
1.5,0.3521722451,0.04996578696,0.4140578918,0.1771172577,0.1875609392,0.1814097603,-0.05887398252,-0.1679705209,0.1059411319,0.08010226486,
1.52,0.3331308638,0.0799665738,0.419231052,0.108238139,0.1143902204,0.1617695663,-0.03762207927,-0.1735170273,0.1316763636,0.09751002277,
1.54,0.3230992008,0.0873480191,0.3973147692,0.08435063269,0.1087751483,0.1743334989,-0.06724967978,-0.1996606884,0.1513681871,0.1175837226,
1.56,0.3089344856,0.09157517713,0.39996939,0.1130196784,0.07545257806,0.1573638018,-0.1003081665,-0.2175961106,0.1029724587,0.1318229241,
1.58,0.2780511204,0.04359928578,0.4524426594,0.1031995179,0.07876332207,0.2192990113,-0.06016793128,-0.1955068533,0.05101315915,0.1389268374,
1.6,0.2769552915,0.0369288339,0.425499081,0.137824209,0.05419672984,0.21447224,-0.06255346904,-0.1900929225,0.04769469206,0.1242641693,
1.62,0.2646314776,0.03012363751,0.4332351925,0.1201468931,0.0475352434,0.1884125686,-0.03476763894,-0.1547696401,0.02883432143,0.1261656327,
1.64,0.2205963242,0.0163180089,0.4880991887,0.1129944756,0.06203857423,0.1939562215,-0.05226960841,-0.12960738,0.04310022238,0.09194513827,
1.66,0.2454507758,-0.006095394125,0.4622753966,0.1006787576,-0.01874011657,0.1040395454,-0.05422476394,-0.1285358756,0.01881353636,0.1040909247,
1.68,0.2148990819,0.01564503644,0.448826283,0.08230050613,-0.03450127462,0.09862092747,-0.05890253907,-0.1442105227,0.01686935747,0.1354339128,
1.7,0.2383975507,-0.01676239738,0.4445672995,0.0893974046,-0.04090535272,0.1024960317,-0.07114961496,-0.1233659202,0.006302704961,0.1349047031,
1.72,0.227508041,-0.03932186538,0.4511911746,0.09606962364,-0.07765138917,0.092937518,-0.08767787934,-0.1396419183,0.02975016212,0.134106217,
1.74,0.2528185247,-0.02484721463,0.466820734,0.1283981254,-0.004238725231,0.07851488118,-0.09104440255,-0.1426170925,0.02764740816,0.1333666379,
1.76,0.2655991035,-0.0493839425,0.4402234203,0.1390270758,0.003395704372,0.07345267166,-0.0617854234,-0.130472826,0.009834296165,0.169263881,
1.78,0.2174429261,-0.003488796486,0.3822135502,0.1469626643,0.03369309771,0.1000791252,-0.06429844648,-0.1630372956,0.05759244316,0.1514235623,
1.8,0.2385820809,-0.03830490122,0.3883828634,0.10427326,0.006726957928,0.1095338308,-0.06715859635,-0.1651133304,0.09983999366,0.1335905315,
1.82,0.2026730531,-0.04550184729,0.3675457515,0.1981282409,0.02411653029,0.07388213293,-0.06562900353,-0.1795734936,0.1271203788,0.1011441466,
1.84,0.2176774053,-0.0441474327,0.2957739851,0.1958451454,0.01755668057,0.05664945053,-0.01956560941,-0.1579486085,0.1300093568,0.04343779575,
1.86,0.2418451647,-0.05095739741,0.2820173334,0.2214210864,0.02579089162,0.06239166116,-0.04574374411,-0.1861013732,0.1820095673,0.02576172195,
1.88,0.236219524,-0.06535249603,0.2746857612,0.1910189294,0.02835216449,0.07003307543,-0.08031394262,-0.1980241811,0.1855903348,-0.02676096317,
1.9,0.229537496,-0.07488733145,0.2819918253,0.1387610035,0.03489318583,0.08335006595,-0.1027068712,-0.169513095,0.1809942171,-0.02954399614,
1.92,0.1828784209,-0.07894731463,0.2925879892,0.1011378944,0.02976320708,0.06328807049,-0.09865853244,-0.1602184853,0.1471658726,0.02635669718,
1.94,0.1917845012,-0.06283114173,0.2979252777,0.1274986316,0.004830945285,0.08190040116,-0.1033546729,-0.1490313804,0.1828713939,0.03850472883,
1.96,0.2217016222,-0.01643560288,0.2599023446,0.1211209673,0.02540774336,0.07212082861,-0.1102045633,-0.1171077734,0.2118309732,0.03964659337,
1.98,0.2085276344,-0.08159235251,0.3043453893,0.1675089086,0.08282841968,0.0856663931,-0.1233008248,-0.1297538176,0.2015797051,-0.002844030318,
2,0.165474444,-0.07282052037,0.2221637619,0.1904582104,0.0606350916,0.1199533268,-0.1546464595,-0.1412999186,0.2214040846,-0.05161859394,
2.02,0.1618891539,-0.05182387044,0.200790123,0.2287004265,0.06146337664,0.1056354036,-0.1243413256,-0.1105675263,0.2536902603,-0.04143624161,
2.04,0.1883897118,-0.02283385085,0.239960877,0.2047707441,0.09102556383,0.08261756241,-0.1656907302,-0.1074742125,0.2645414472,-0.06889102647,
2.06,0.1763083044,-0.04303205443,0.2453058156,0.2217014699,0.1081684697,0.06081573566,-0.1916815776,-0.1195550613,0.2494524729,-0.04307736659,
2.08,0.1243876598,-0.01454883797,0.2221035011,0.1853789609,0.1272801486,0.01323622957,-0.2199391809,-0.1422160567,0.2323795393,-0.06261873104,
2.1,0.1072655172,0.01067006415,0.1719392037,0.1920050648,0.1156867949,0.03838453089,-0.2060183172,-0.1427103567,0.2104534005,-0.02038858659,
2.12,0.07704512969,-0.01791981818,0.2256150733,0.1644454905,0.1063121705,0.03756409233,-0.2096330152,-0.1629639193,0.1954924591,-0.05885495204,
2.14,0.09067161227,-0.03232480716,0.2224934796,0.1217824379,0.1367040604,0.0617871426,-0.1850711666,-0.1402270062,0.2469377212,-0.05063014149,
2.16,0.1015148633,-0.03793884448,0.2556617794,0.06981722379,0.1159700895,0.0049597263,-0.1547704716,-0.06884642393,0.2774276777,-0.04623354581,
2.18,0.1483540552,-0.00214185583,0.2312828965,0.08780093975,0.1230985596,-0.02392295542,-0.1461129404,-0.04690743581,0.2552094059,-0.07936157717,
2.2,0.1679704627,-0.008758448023,0.2705384061,0.1244043898,0.1408222936,0.02817551696,-0.1182389886,-0.06362316668,0.2144105975,-0.09165749254,
2.22,0.1993796361,-0.03829083771,0.2373810984,0.1140639938,0.1500227185,-0.005487463807,-0.1536174604,-0.1059467212,0.2405570185,-0.06809781879,
2.24,0.1819528758,-0.05780540936,0.2112270826,0.1200379157,0.1243664403,0.001900290111,-0.08604433352,-0.1204346097,0.219191404,-0.07526984782,
2.26,0.1841028756,-0.01388027362,0.2130519353,0.1208673934,0.1147520456,-0.02035698226,-0.06422977497,-0.1730169301,0.2034596243,-0.1019310546,
2.28,0.2054639718,0.02015646675,0.214539798,0.07896794616,0.1367294314,-0.027929555,-0.05674616597,-0.1242069077,0.1984619087,-0.09074112491,
2.3,0.2219420871,-0.01447750769,0.1613079094,0.08130994044,0.1613273445,-0.0368394232,-0.1188835101,-0.1099390129,0.1905204195,-0.05441049776,
2.32,0.2130691929,-0.004052444264,0.1107737083,0.08052380795,0.1570189216,-0.011904838,-0.1120235498,-0.1349167899,0.1812871259,-0.007964438547,
2.34,0.237921651,0.0451575219,0.1283976385,0.03905550268,0.1282405788,0.02732818233,-0.08594275027,-0.09563263898,0.1777939096,0.001273342727,
2.36,0.2889366608,0.07187306683,0.1447984969,0.01180422481,0.1315658212,0.04759614284,-0.1070155244,-0.1095806999,0.1621112085,0.01272553641,
2.38,0.2911877082,0.07494235382,0.1446398693,0.02490380104,0.1686383761,0.08045861304,-0.09550572172,-0.1416739882,0.1605751599,0.04317671201,
2.4,0.3214036808,0.02009744809,0.1127036368,0.04892099892,0.16493516,0.05831102641,-0.1049279994,-0.155683347,0.0701947759,0.03406057192,
2.42,0.3280429315,0.0294694836,0.0943451829,0.05581191282,0.1728686633,0.05039557702,-0.04594041867,-0.1336770123,0.06935447662,0.03220465053,
2.44,0.3167746228,0.03158740262,0.07044075521,0.1130188315,0.1765004008,0.01896941957,-0.05773902441,-0.09850505257,0.06973048012,0.03474360689,
2.46,0.3415741045,0.09042461178,0.06439510543,0.1051738542,0.1769158084,0.02163507421,-0.04070360575,-0.1151671126,0.0817648968,0.05871888129,
2.48,0.3564356635,0.08354956421,0.03589616208,0.1283005432,0.149145626,-0.01535606353,-0.067331865,-0.1146055735,0.05234992635,0.04105050357,
2.5,0.3052462995,0.07710240166,0.0002140862617,0.1160740463,0.1396551969,-0.01232618651,-0.06088734649,-0.1308146958,0.06743290209,0.03987005677,
2.52,0.3049820863,0.09047133388,-0.04655527197,0.1356091547,0.1572598329,0.01416101477,-0.09530794146,-0.1114533763,0.06773203224,0.02255050933,
2.54,0.2750051607,0.1250563267,-0.01951978897,0.1135098316,0.1171598196,0.00772356104,-0.08432167536,-0.08858176364,0.08301104279,-0.006583878944,
2.56,0.2626414969,0.09894738459,-0.03409321994,0.1281953995,0.1044102171,-0.0414059333,-0.09225804105,-0.1326830502,0.1422798553,0.002554336838,
2.58,0.2547344567,0.1015525007,-0.02678937162,0.1726658609,0.1106199257,-0.083473107,-0.1431348439,-0.1406454796,0.1221371574,-0.0367310001,
2.6,0.2723189736,0.06087842369,-0.02567354794,0.154955836,0.135600486,-0.1264026267,-0.1841381099,-0.1296271521,0.119617819,-0.02259781091,
2.62,0.244296953,-0.01845866012,-0.04199563042,0.1496328945,0.1107070608,-0.1509611452,-0.2287230871,-0.1609939786,0.1472891349,0.006687410004,
2.64,0.2249210743,-0.02393777378,-0.03190933129,0.1939870589,0.1057663457,-0.1848943926,-0.2556822955,-0.1092486961,0.1329231039,0.00763135827,
2.66,0.2270993117,-0.009744069313,-0.02334977481,0.1819463177,0.07485062254,-0.2065384886,-0.215446763,-0.1334906096,0.07218803934,0.04863834763,
2.68,0.2382588209,0.007409851352,0.04226677152,0.1376576927,0.104230506,-0.2106943329,-0.2298916896,-0.1124585031,0.03131492232,0.0104204787,
2.7,0.1978451307,0.007331163332,0.04712275318,0.1467428842,0.08866230939,-0.1955803859,-0.2045042506,-0.1359957285,0.02631883124,0.04512354366,
2.72,0.1987200503,-0.0208982538,0.06600417702,0.16164008,0.09339284584,-0.1751014943,-0.2258528678,-0.1867914793,-0.01397947963,0.009590072922,
2.74,0.1860835766,-0.05246810837,0.08110424329,0.1882085979,0.09456586707,-0.2135589978,-0.2078471702,-0.1328644542,-0.08077809795,0.02775553093,
2.76,0.1879682984,-0.0677441811,0.09558765245,0.178781881,0.152528262,-0.1989939214,-0.2171852994,-0.1345498594,-0.05961395351,0.07134644355,
2.78,0.161678601,-0.02303150515,0.1220451199,0.2105162663,0.1687111947,-0.1862495204,-0.2549607945,-0.09991216951,-0.09807345792,0.1009483616,
2.8,0.1299702865,0.01689905289,0.1431653221,0.164983946,0.1571507239,-0.1751475303,-0.2048474245,-0.1235969171,-0.1054987714,0.1065390025,
2.82,0.15387982,0.01632944864,0.1141645956,0.1643459875,0.2013925981,-0.2109175546,-0.1734129253,-0.1513546889,-0.09539359635,0.1045540491,
2.84,0.1992262223,0.05575292317,0.09485092456,0.182655706,0.2206158951,-0.1972059012,-0.1904761604,-0.173739296,-0.1102252885,0.1146544096,
2.86,0.2024297595,0.02175746213,0.08933310736,0.1601828964,0.1752665806,-0.1312117936,-0.2277526495,-0.1967585352,-0.1495367656,0.09627820017,
2.88,0.163769732,-0.01644255468,0.1235455661,0.1993804258,0.2311938332,-0.1358139707,-0.2378600823,-0.1898497859,-0.1930912038,0.1243104032,
2.9,0.1584513896,-0.01833830778,0.1210094359,0.1951434292,0.2332125858,-0.1696366035,-0.2319477302,-0.1996010722,-0.1688778409,0.1064574329,
2.92,0.2012301398,-0.04077827775,0.0974960732,0.2093570995,0.2707173591,-0.1276977796,-0.2431296692,-0.1922666621,-0.1352763458,0.113409566,
2.94,0.1631938183,-0.08632141901,0.1027144391,0.1803595152,0.2243188277,-0.1588354917,-0.1859893675,-0.2138419418,-0.1099291172,0.08715223293,
2.96,0.1431235341,-0.1159825201,0.09568330501,0.1173468234,0.2489363986,-0.1224601024,-0.1693955224,-0.1886093995,-0.1080038688,0.1292905582,
2.98,0.155994235,-0.1249445258,0.07174620898,0.1438056849,0.260232404,-0.1244208764,-0.2082409446,-0.1421102038,-0.114669654,0.09803091286,
3,0.1828484686,-0.0961119678,0.1013060181,0.1508495931,0.2443028727,-0.1399030651,-0.2255216758,-0.1179142818,-0.08639934949,0.07534130501,
3.02,0.1386554496,-0.09806526719,0.04952882185,0.1818976588,0.2541353349,-0.1082913861,-0.2056030623,-0.07968969743,-0.1085177512,0.06278082683,
3.04,0.1435754714,-0.09173218504,0.0172079156,0.1969755008,0.217889712,-0.1069748028,-0.1749187973,-0.09700745736,-0.1338361632,0.1288919278,
3.06,0.197535165,-0.06563723221,0.0541752476,0.2068713097,0.2274033315,-0.1146588387,-0.1883068079,-0.1406355016,-0.1425474935,0.1229889948,
3.08,0.1893351583,-0.0478038245,0.1095088995,0.224819678,0.2674037818,-0.1465915013,-0.1736906628,-0.1485062108,-0.128096088,0.1033509178,
3.1,0.1738931661,-0.02837104716,0.1266705322,0.1997250969,0.2895022761,-0.1053914866,-0.1447130412,-0.2040000353,-0.1585260203,0.1279323727,
3.12,0.1653772424,0.01728473439,0.1235680812,0.2255792129,0.2608561305,-0.08086025175,-0.1331804502,-0.1555088724,-0.1540016376,0.143850482,
3.14,0.1496888565,-0.0003365968138,0.1049288544,0.2147915219,0.2492674455,-0.08018657903,-0.1258517021,-0.1264544334,-0.1617006778,0.1700763834,
3.16,0.1656994045,-0.01845485301,0.09436648704,0.2045657886,0.252087649,-0.07124898026,-0.1028868526,-0.09518563015,-0.1540386423,0.1317984347,
3.18,0.1724086024,-0.061353584,0.1205013324,0.1882565165,0.2415500766,-0.04820597285,-0.1235836991,-0.1122219838,-0.157200374,0.1291568931,
3.2,0.1934564649,-0.1003703782,0.06815035854,0.1839682854,0.2366843347,-0.0379233793,-0.08623914853,-0.1047684526,-0.1297023421,0.08444763327,
3.22,0.2038799279,-0.1150138953,0.1141507207,0.1643253829,0.2350835339,-0.04929789442,-0.05607515623,-0.08879020778,-0.1077081414,0.04377562279,
3.24,0.2156029251,-0.1362175439,0.1098837087,0.09983303711,0.2284684071,-0.04949467089,-0.05521034986,-0.1480529562,-0.1234587516,0.008089240088,
3.26,0.237043129,-0.1736365678,0.1267981242,0.1202349652,0.1970089984,-0.03867570976,-0.0343233803,-0.1444229646,-0.1171747177,0.03690845181,
3.28,0.2681633696,-0.1330983207,0.1339990044,0.09846686497,0.2160968806,-0.04627770334,-0.02880950286,-0.1541222588,-0.1215858196,0.02189729978,
3.3,0.2571287651,-0.1308377355,0.1450841258,0.1208155032,0.1965616902,-0.04910692543,0.0154787604,-0.0932596271,-0.1025439191,0.01497743998,
3.32,0.2466310749,-0.1182012879,0.1345318406,0.1232625506,0.1904926002,-0.03788218135,0.05544779669,-0.09911551293,-0.125108078,0.02193744443,
3.34,0.3010161316,-0.1962646412,0.1796167486,0.1091637255,0.1749137952,-0.01381886389,0.03780074184,-0.09351055909,-0.1335254718,0.02271417087,
3.36,0.2863055094,-0.2065995781,0.1892035884,0.1054003799,0.2143572047,-0.01049224154,0.01438831794,-0.1000698651,-0.1125873712,0.01017753662,
3.38,0.2842270441,-0.2009000802,0.168213096,0.04913649301,0.2136871065,0.01185079641,0.0615308911,-0.07351315168,-0.1402424345,0.020164455,
3.4,0.2813000184,-0.1874904677,0.1401336075,0.07911830925,0.1995793495,-0.0120035094,0.07375327795,-0.1124860254,-0.1305106752,0.01636397623,
3.42,0.2971106189,-0.2008481868,0.1290600706,0.09133421476,0.2307307403,0.0009461962487,0.01882593788,-0.1485588764,-0.1143602322,-0.0188214039,
3.44,0.2764908225,-0.2337787016,0.08379844766,0.09331808852,0.2276689633,0.008177109224,0.02115367059,-0.1867209966,-0.09670615822,-0.05624683101,
3.46,0.2830375374,-0.2304248255,0.07020610787,0.1013326005,0.2478192856,-0.006012406035,0.0539330925,-0.2327435226,-0.09656955424,-0.0008267868595,
3.48,0.2458791894,-0.2761374945,0.07110677566,0.08103354116,0.2605656494,0.01243090825,0.09277935718,-0.2141086946,-0.1304731228,0.0310274718,
3.5,0.2757049172,-0.2614781053,0.03499435288,0.04207839961,0.2510887554,-0.0321310236,0.1251331734,-0.2614459715,-0.1554422959,0.0285014022,
3.52,0.3003242868,-0.2372080446,0.0680467488,0.01836019215,0.2036370451,-0.03086604899,0.08681631655,-0.2475202679,-0.08983410577,0.03054943697,
3.54,0.3546386004,-0.2526750337,0.0557800471,0.0434701216,0.162393402,-0.04017654033,0.1189005095,-0.2985630454,-0.05138289925,-0.004712783397,
3.56,0.4042090413,-0.2713660048,0.08554248474,0.08099168923,0.1499341528,-0.01763418067,0.111920598,-0.319954846,-0.03603401292,-0.005283004991,
3.58,0.4101721806,-0.2441727887,0.1010368337,0.05922084085,0.1066050612,-0.00355775972,0.1374799862,-0.2908375614,-0.1271183159,0.0290448573,
3.6,0.4189574781,-0.2388534179,0.09562012837,0.09055909053,0.0979532406,0.0218102994,0.08987579353,-0.2782475515,-0.1238037578,-0.009438643166,
3.62,0.4530771521,-0.2036818468,0.05785330044,0.06333380374,0.1021341691,0.0006660072967,0.08313089484,-0.2702190118,-0.08966127664,-0.051853454,
