0,1,2,3,4,5,6,7,8,9,
0,0,0,0,0,0,0,0,0,0,0,
0.01,0.0002061975176,0.0002039775099,0.0002092045736,0.0001996750844,0.0001967843612,0.0001999533222,0.000200865124,0.0001917191065,0.0001928198637,0.0001973437402,
0.02,0.0004142162693,0.0004092892787,0.0004266059819,0.0004008167101,0.0003853000656,0.0003952848384,0.0003984482612,0.0003865935157,0.0003880762297,0.0004019191286,
0.03,0.0006224143302,0.0006137262128,0.0006510043619,0.0006017021678,0.000568378532,0.0005830506572,0.0005962660527,0.0005865515317,0.0005931848169,0.0006175427923,
0.04,0.0008328731971,0.0008180698002,0.0008769261664,0.0007984166179,0.0007418820444,0.0007657469055,0.0008013726156,0.0007871764022,0.0008056784088,0.0008399416296,
0.05,0.001052977131,0.001024938774,0.00110040751,0.0009953086668,0.0009122286408,0.0009477762743,0.00100609931,0.0009922908645,0.001016941713,0.001066631698,
0.06,0.001294080179,0.001238110229,0.001330194945,0.001183044075,0.001079087558,0.001127429083,0.001197294752,0.001201788033,0.001231949368,0.001293159148,
0.07,0.001539818613,0.00145561776,0.001567055843,0.001362924642,0.001235996997,0.001308954453,0.001387355939,0.001418959843,0.001445829726,0.001516969276,
0.08,0.001784964737,0.001676368452,0.001809399704,0.001547939266,0.001392759603,0.001504375076,0.001582868794,0.001646476881,0.001658206409,0.00174513054,
0.09,0.002029164977,0.001906071369,0.002053238987,0.001736902716,0.001546511574,0.001708922366,0.001769648707,0.001881878809,0.001855748118,0.001986997275,
0.1,0.002272753479,0.002150700692,0.002297445832,0.001913104821,0.00168915635,0.001904007092,0.001935587657,0.002118241363,0.002041159338,0.002234380815,
0.11,0.002518061083,0.002407536777,0.002539770115,0.002078113718,0.00181997326,0.00209957502,0.002091669923,0.00235508998,0.002231005681,0.002477678189,
0.12,0.002766314199,0.002669441479,0.002763481375,0.002233542733,0.001942041599,0.002278388889,0.002252194317,0.002600236935,0.002419634748,0.002713652729,
0.13,0.003029107985,0.002935508553,0.002978685287,0.002383229826,0.002059893371,0.002443846855,0.00240877611,0.002852331344,0.002599583619,0.002955253042,
0.14,0.003300988408,0.003197033338,0.003189299094,0.002535548696,0.002177539497,0.00260447186,0.002564102319,0.003103786401,0.002767806707,0.00319980818,
0.15,0.003571496837,0.003450761011,0.003403224343,0.002696414598,0.002285788536,0.002769400376,0.002725011269,0.003351349634,0.00292283339,0.003441271333,
0.16,0.003830732743,0.003707356344,0.003618283795,0.002873413992,0.002385349564,0.002943469926,0.002891300627,0.003593955613,0.003070947547,0.003681648341,
0.17,0.004086702187,0.003972503288,0.003823481156,0.003057547285,0.002477962894,0.003124304079,0.003061332372,0.00383929397,0.003215202762,0.003917197877,
0.18,0.004346158015,0.0042398482,0.004019073522,0.003235069123,0.002561541427,0.003310065062,0.003232663794,0.004088597999,0.003351202367,0.004154529758,
0.19,0.004600041637,0.004500136035,0.004212753156,0.003411482017,0.002643330597,0.003502730965,0.003404016937,0.004339575276,0.00348243033,0.004402372,
0.2,0.004852423681,0.004740099588,0.004413018446,0.003578247951,0.002728598499,0.003702487964,0.003572341905,0.004586106094,0.003613486726,0.004644775079,
0.21,0.005102856434,0.004971439662,0.004614829197,0.003742243305,0.002828151983,0.003906973428,0.003730882461,0.004839839533,0.003744556034,0.004878059929,
0.22,0.005359011791,0.005202009937,0.004808594138,0.003908582101,0.002937210012,0.004112779821,0.003888144821,0.00510437278,0.003884569828,0.005121857425,
0.23,0.005629001723,0.005420484777,0.005002836781,0.00407231458,0.003047393279,0.004314976849,0.004037903061,0.00536448086,0.004032476848,0.005367634096,
0.24,0.005905882155,0.005640314026,0.005185232718,0.004234330784,0.003153006202,0.004517194159,0.004180601154,0.00562769316,0.004183768483,0.005611585167,
