0.01,9975.28
0.02,4975.3
0.03,3308.67
0.04,2475.36
0.05,1975.39
0.06,1642.08
0.07,1404.01
0.08,1225.47
0.09,1086.61
0.1,975.524
0.11,884.642
0.12,808.912
0.13,744.836
0.14,689.919
0.15,642.327
0.16,600.688
0.17,563.95
0.18,531.298
0.19,502.085
0.2,475.797
0.21,452.015
0.22,430.397
0.23,410.662
0.24,392.573
0.25,375.934
0.26,360.576
0.27,346.359
0.28,333.158
0.29,320.87
0.3,309.403
0.31,298.678
0.32,288.625
0.33,279.182
0.34,270.297
0.35,261.921
0.36,254.012
0.37,246.531
0.38,239.446
0.39,232.726
0.4,226.343
0.41,220.272
0.42,214.492
0.43,208.983
0.44,203.724
0.45,198.701
0.46,193.897
0.47,189.299
0.48,184.894
0.49,180.669
0.5,176.615
0.51,172.72
0.52,168.977
0.53,165.375
0.54,161.909
0.55,158.569
0.56,155.349
0.57,152.243
0.58,149.246
0.59,146.35
0.6,143.553
0.61,140.847
0.62,138.23
0.63,135.697
0.64,133.244
0.65,130.867
0.66,128.563
0.67,126.329
0.68,124.161
0.69,122.057
0.7,120.013
0.71,118.028
0.72,116.099
0.73,114.223
0.74,112.399
0.75,110.624
0.76,108.897
0.77,107.215
0.78,105.577
0.79,103.981
0.8,102.425
0.81,100.909
0.82,99.4302
0.83,97.9877
0.84,96.5802
0.85,95.2064
0.86,93.8652
0.87,92.5555
0.88,91.276
0.89,90.026
0.9,88.8043
0.91,87.61
0.92,86.4422
0.93,85.3001
0.94,84.1829
0.95,83.0897
0.96,82.0199
0.97,80.9726
0.98,79.9473
0.99,78.9431
1,77.9596
1.01,76.9961
1.02,76.0519
1.03,75.1266
1.04,74.2196
1.05,73.3304
1.06,72.4584
1.07,71.6032
1.08,70.7643
1.09,69.9412
1.1,69.1336
1.11,68.341
1.12,67.563
1.13,66.7993
1.14,66.0493
1.15,65.3129
1.16,64.5896
1.17,63.8791
1.18,63.181
1.19,62.4952
1.2,61.8211
1.21,61.1587
1.22,60.5074
1.23,59.8672
1.24,59.2378
1.25,58.6188
1.26,58.01
1.27,57.4112
1.28,56.8221
1.29,56.2426
1.3,55.6723
1.31,55.1112
1.32,54.5589
1.33,54.0153
1.34,53.4802
1.35,52.9533
1.36,52.4346
1.37,51.9238
1.38,51.4208
1.39,50.9254
1.4,50.4374
1.41,49.9566
1.42,49.483
1.43,49.0163
1.44,48.5565
1.45,48.1033
1.46,47.6567
1.47,47.2165
1.48,46.7825
1.49,46.3547
1.5,45.9329
1.51,45.5171
1.52,45.107
1.53,44.7026
1.54,44.3037
1.55,43.9103
1.56,43.5223
1.57,43.1395
1.58,42.7619
1.59,42.3893
1.6,42.0216
1.61,41.6588
