0,1,2,3,4,5,6,7,8,9,
0,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,4.605170186,
0.01,4.604673383,4.570464366,4.601248966,4.598718071,4.60781214,4.59683192,4.629485838,4.593752687,4.603108637,4.614875664,
0.02,4.587071878,4.583047403,4.554957207,4.608028409,4.598225828,4.61342198,4.640129261,4.644724828,4.607241625,4.600315391,
0.03,4.599721053,4.590725536,4.574781632,4.603424725,4.576649485,4.617643207,4.612483839,4.626118041,4.606871395,4.617773372,
0.04,4.570244783,4.584293099,4.592438168,4.609431027,4.582159927,4.631025828,4.630743633,4.63218789,4.650015148,4.650883348,
0.05,4.593368664,4.565378478,4.588037013,4.604410928,4.549826762,4.634973967,4.63141547,4.629052212,4.650153251,4.655519478,
0.06,4.599777666,4.568346841,4.567060809,4.588759974,4.535618021,4.63468276,4.618652346,4.670033235,4.665527204,4.634303701,
0.07,4.603515436,4.56383114,4.590973233,4.586803038,4.517918263,4.625027314,4.635912495,4.691855846,4.692050001,4.614886982,
0.08,4.58631465,4.569584884,4.625755822,4.539051619,4.520694392,4.650756747,4.625451438,4.685415149,4.709844205,4.608128493,
0.09,4.580402421,4.590209868,4.587961367,4.553369235,4.52767819,4.64222305,4.63317096,4.672582698,4.691913524,4.610540889,
0.1,4.585761195,4.604792731,4.630073031,4.562224813,4.533765911,4.606770643,4.635891194,4.681181817,4.670974607,4.640277497,
0.11,4.588030654,4.601568356,4.640679627,4.561237829,4.560431075,4.607677427,4.636880324,4.698479766,4.680412504,4.651261234,
0.12,4.572795327,4.61322261,4.643946777,4.53009877,4.522300673,4.582817883,4.631267908,4.680146098,4.650344403,4.649398076,
0.13,4.605103084,4.619372413,4.639828507,4.524043319,4.510984082,4.559335381,4.622589671,4.6799371,4.668670899,4.656913957,
0.14,4.627690505,4.615863356,4.639887231,4.518435655,4.516584953,4.560652793,4.649797181,4.682797692,4.669771299,4.655413458,
0.15,4.637740172,4.601937005,4.628348789,4.535790037,4.500027536,4.579496999,4.645973261,4.697391567,4.676126931,4.610483194,
0.16,4.630714864,4.618779176,4.628197669,4.550614361,4.487135928,4.559715161,4.638689898,4.703319181,4.67295405,4.607206445,
0.17,4.641402943,4.63692278,4.601489692,4.515055582,4.451817127,4.560332619,4.62844039,4.701408967,4.666531803,4.621327216,
0.18,4.666156212,4.626511749,4.568683173,4.531915053,4.432788634,4.568191268,4.602369678,4.691856997,4.648436667,4.641327326,
0.19,4.650982889,4.617336812,4.587462328,4.559767265,4.418902342,4.582668362,4.593347033,4.734408115,4.667057726,4.665076831,
0.2,4.656779999,4.592866487,4.604702799,4.542232928,4.430685597,4.608410003,4.542650723,4.768360032,4.68296817,4.664868814,
0.21,4.673464871,4.578176737,4.636603721,4.538667462,4.48681854,4.626635818,4.546590727,4.811074674,4.692597768,4.675293474,
0.22,4.663850675,4.550376835,4.605999893,4.591286856,4.488313482,4.627251949,4.551162278,4.780995377,4.743638151,4.676330951,
0.23,4.699917428,4.50643135,4.589279588,4.625093596,4.485645552,4.61442646,4.558607855,4.773163374,4.747250507,4.686356818,
0.24,4.718623572,4.53259755,4.588994483,4.628148547,4.492758107,4.585672006,4.570940882,4.783245262,4.747196866,4.676421095,
0.25,4.728659198,4.518354449,4.578711457,4.623924596,4.491833048,4.5669697,4.56811847,4.766387271,4.767937971,4.642734749,
0.26,4.719615565,4.510950092,4.566394231,4.636637892,4.456471074,4.535775857,4.532725259,4.762404786,4.750364032,4.67098002,
0.27,4.70127243,4.521326231,4.52983281,4.621516598,4.443943345,4.579138377,4.573606135,4.761052633,4.746714322,4.63217026,
0.28,4.672888289,4.45070871,4.515131958,4.600008233,4.460092707,4.61448453,4.57622402,4.750077252,4.775268221,4.582555706,
0.29,4.693047607,4.464256295,4.515467112,4.591728594,4.443525431,4.607698192,4.576758154,4.780963183,4.784633083,4.574957893,
0.3,4.706121528,4.494698309,4.481454783,4.592781909,4.454447937,4.560722761,4.572877802,4.80637216,4.778827614,4.575493435,
0.31,4.683497674,4.444854349,4.466420086,4.621436574,4.454159219,4.555318713,4.575188781,4.819331273,4.762357582,4.581408793,
0.32,4.68296581,4.421862612,4.462661698,4.61868851,4.451676917,4.551905548,4.577173574,4.792514199,4.790161279,4.580598373,
0.33,4.692047424,4.434572919,4.437327961,4.608792983,4.459018305,4.558088602,4.582393155,4.787909759,4.798443052,4.589025019,
0.34,4.663981036,4.446637672,4.428327306,4.60463127,4.466498888,4.567469825,4.590406352,4.771705684,4.75699976,4.570981771,
0.35,4.658042304,4.479860522,4.424572106,4.619305838,4.500740867,4.635661805,4.585827519,4.777719536,4.765664649,4.545809976,
0.36,4.638132156,4.481102759,4.420743369,4.597181321,4.523604849,4.616788575,4.588796068,4.754458398,4.763424609,4.544167976,
0.37,4.672936582,4.446133887,4.409405222,4.582166118,4.505696802,4.636943948,4.576778888,4.735372505,4.775166702,4.555581525,
0.38,4.663305506,4.442353858,4.408313632,4.621043202,4.511615125,4.655785681,4.580457996,4.744460729,4.780612538,4.548395898,
0.39,4.678255975,4.454639187,4.388548087,4.595067755,4.540907215,4.670949285,4.605881094,4.744472231,4.758681386,4.554812604,
0.4,4.718945263,4.429416256,4.399376839,4.572051987,4.556151812,4.653824257,4.614013051,4.729471842,4.763072256,4.549976392,
0.41,4.728789443,4.44213485,4.382359041,4.595816094,4.557776082,4.667536017,4.670480256,4.728882289,4.759078172,4.574699449,
0.42,4.745199012,4.403702639,4.387424414,4.570224479,4.530612916,4.673372874,4.72603098,4.753236046,4.769057551,4.515602915,
0.43,4.727563897,4.417341071,4.373690994,4.595219423,4.52668527,4.67610752,4.73426359,4.728389751,4.779264921,4.508820284,
0.44,4.744244732,4.415687485,4.391343402,4.587502191,4.553616642,4.657333404,4.745159424,4.713631753,4.800743155,4.541285835,
0.45,4.749183218,4.406159553,4.403982787,4.600768968,4.528639939,4.662864849,4.741755588,4.728003878,4.771859757,4.559481523,
0.46,4.752762328,4.435641837,4.369611105,4.586354332,4.499829638,4.680763063,4.739177642,4.723384116,4.781089849,4.546614284,
0.47,4.736641019,4.418740477,4.338557566,4.589766431,4.476138139,4.66689326,4.767852873,4.709329491,4.752480324,4.50590046,
0.48,4.771396591,4.365752108,4.345060516,4.584359545,4.479525839,4.656635414,4.760948036,4.725690538,4.752021765,4.483156608,
0.49,4.77002382,4.381219469,4.320164896,4.582482877,4.467161589,4.650733808,4.754080441,4.713646637,4.719220468,4.514358508,
0.5,4.758071937,4.390536605,4.331687862,4.581003539,4.444903762,4.663469844,4.77162687,4.733904248,4.724316135,4.540799718,
0.51,4.72902187,4.384371145,4.319403142,4.576681649,4.433156179,4.688831903,4.786331398,4.730756042,4.721821987,4.525385524,
0.52,4.726064983,4.40773515,4.346207399,4.600436909,4.473076573,4.704310096,4.758375731,4.725440335,4.706649055,4.551125886,
0.53,4.717302087,4.407787615,4.347065076,4.633354169,4.475845934,4.704123529,4.786863356,4.733646227,4.668912549,4.58504845,
0.54,4.735005807,4.384255355,4.305099921,4.60623045,4.51176344,4.661410639,4.778078141,4.734793156,4.653879989,4.567369754,
0.55,4.753771177,4.388768741,4.324136176,4.620883759,4.535680877,4.68578012,4.803493124,4.737374092,4.646985871,4.548465457,
0.56,4.749964423,4.370294821,4.354169917,4.66112828,4.56673386,4.70174695,4.825554966,4.739309389,4.648670196,4.54765118,
0.57,4.752768035,4.361179273,4.316222882,4.682822271,4.563223581,4.697194998,4.772148575,4.742488197,4.609369525,4.550492458,
0.58,4.742005167,4.379158012,4.316463059,4.69739729,4.585452793,4.69681239,4.788551692,4.725385975,4.615630638,4.558750444,
